"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","whocovered","scoretotal","OUError","which_hit"
"10/01/2000",2000,5,"CAR","DAL","Bank of America Stadium","CAR",47.5,"",13,16,FALSE,FALSE,"20001001DALCAR",1,-3,6.5,-9.5,"Underdog",29,-18.5,"Under"
"10/01/2000",2000,5,"CIN","MIA","Paul Brown Stadium","MIA",33,"",16,31,FALSE,FALSE,"20001001MIACIN",0,15,7,8,"Favorite",47,14,"Over"
"10/01/2000",2000,5,"CLE","BAL","FirstEnergy Stadium","BAL",37,"",0,12,FALSE,FALSE,"20001001BALCLE",0,12,8.5,3.5,"Favorite",12,-25,"Under"
"10/01/2000",2000,5,"DEN","NE","Mile High Stadium","DEN",41,"",19,28,FALSE,FALSE,"20001001NEDEN",1,-9,8.5,-17.5,"Underdog",47,6,"Over"
"10/01/2000",2000,5,"DET","MIN","Pontiac Silverdome","DET",42.5,"DOME",24,31,FALSE,FALSE,"20001001MINDET",1,-7,1,-8,"Underdog",55,12.5,"Over"
"10/01/2000",2000,5,"GB","CHI","Lambeau Field","GB",41,"",24,27,FALSE,FALSE,"20001001CHIGB",1,-3,5.5,-8.5,"Underdog",51,10,"Over"
"10/01/2000",2000,5,"JAX","PIT","EverBank Field","JAX",38.5,"",13,24,FALSE,FALSE,"20001001PITJAX",1,-11,11,-22,"Underdog",37,-1.5,"Under"
"10/01/2000",2000,5,"PHI","ATL","Veterans Stadium","PHI",41.5,"",38,10,FALSE,FALSE,"20001001ATLPHI",1,28,3,25,"Favorite",48,6.5,"Over"
"10/01/2000",2000,5,"SF","ARI","Candlestick Park","SF",47.5,"",27,20,FALSE,FALSE,"20001001ARISF",1,7,3.5,3.5,"Favorite",47,-0.5,"Under"
"10/01/2000",2000,5,"LAR","LAC","Edward Jones Dome","LAR",53.5,"",57,31,FALSE,FALSE,"20001001LACLAR",1,26,17,9,"Favorite",88,34.5,"Over"
